"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using Fire Dynamics Simulator (FDS) to explore the fire hazard zone of solar photovoltaic energy storage system","J. -H. Chi; Y. -H. Huang","Department of Fire Science, Wu Feng University, WFU, Minsyong, Chiayi, 62153, Taiwan; Department of Fire Science, Wu Feng University, WFU, Minsyong, Chiayi, 62153, Taiwan","2023 2nd International Conference on Advanced Electronics, Electrical and Green Energy (AEEGE)","9 Nov 2023","2023","","","105","109","In recent years, due to issues such as air pollution and global warming, green energy such as wind power and photovoltaics has developed rapidly. Moreover, whether it is wind power generation or solar photovoltaic, it is necessary to use energy storage system to regulate the power system to maintain the balance and stability of power supply. However, there have been many fire accidents of energy storage systems in the world, causing difficulties in fire rescue. This study takes Taiwan’s current largest solar photovoltaic energy storage system as a case study, uses the Fire Dynamics Simulator(FDS) to discuss the situation of the fire in this case, the situation of the fire spread, and the fire extinguishing efficiency of the water mist system. Based on the results of FDS computer simulation program, an evaluation method for the fire hazard zone of fire rescue is established, and a mechanism for fire prevention, emergency response and fire rescue of solar photovoltaic energy storage system is established.","","979-8-3503-2286-6","10.1109/AEEGE58828.2023.00027","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10308873","solar photovoltaic;energy storage systems;Fire Dynamics Simulator(FDS);fire hazard zone;water mist system","Photovoltaic systems;Power supplies;Power system dynamics;Green products;Wind power generation;Power system stability;Hazards;Climate change","","","","15","IEEE","9 Nov 2023","26-28 May 2023","26-28 May 2023","IEEE","IEEE Conferences"
"Study of Building Fire Evacuation Based on Continuous Model of FDS & EVAC","F. Tingyong; X. Jun; Y. Jufen; W. Bangben","Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China; Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China; Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China; Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China",2011 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,"11 Apr 2011","2011","","","1331","1334","It is quite remarkable that in building fires, many people get chocked due to the failure of evacuating timely, thus causing a huge loss of life and property. In this paper, a large number of building fire evacuation simulation examples are vividly described to introduce the study of building fire evacuation based on continuous model of FDS&EVAC. The future evacuation model will contain more behavioral details, moving towards the direction of predicting individual behavior, simulating large populations and complex features, handling the complex interrelationships among building structure, environment and human behavior.","","978-1-61284-278-3","10.1109/CDCIEM.2011.277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5748059","building fire;FDS&EVAC;vacuation simulation;continuous model","Monitoring;Computers;Distributed control","","7","","6","IEEE","11 Apr 2011","19-20 Feb. 2011","19-20 Feb. 2011","IEEE","IEEE Conferences"
"Validation of the Shape Transformation Protocol for Simulating Non-Cuboid Compartments in CFAST Using FDS Simulations","C. Wu; W. Yan; M. Clayton","Iowa State University, USA; Texas A&M University, USA; Texas A&M University, USA",2025 Annual Modeling and Simulation Conference (ANNSIM),"30 Oct 2025","2025","","","1","12","CFAST is a common application for building fire simulation. CFAST is limited to only capable of simulating buildings with cuboid (box) shape rooms due to its spatial definition using three parameters: length, width, and height. A solution to overcome this limitation is to convert a non-cuboid to a cuboid with the same floor area, width/length proportion, and volume as the original geometry. This shape transformation protocol allows CFAST to simulate buildings with any shape rooms. However, the accuracy of the simulation results due to the shape transformation remained unknown. This study investigated the accuracy of this shape transformation protocol by comparing the simulation results of the original shape and the transformed shape with FDS simulations. The results showed that the vast majority of the test cases had less than 6% difference. It indicates that using this shape transformation protocol to simulate non-cuboid rooms in CFAST can achieve reasonable accuracy.","","979-8-3313-1616-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11214599","Building fire simulation;CFAST;FDS;validation;non-cuboid compartment","Geometry;Protocols;Accuracy;Shape;Simulation;Buildings;Transforms;Floors;Heat transfer","","","","13","","30 Oct 2025","26-29 May 2025","26-29 May 2025","IEEE","IEEE Conferences"
"Building a Virtual Reality Fire Environment based on Fire Dynamic Simulator","M. Tzani; J. Besharat; V. Charalampous; C. Stylios","Computer Technology Institute and Press “Diophantus”, “D. Maritsas” Building, N. Kazantzaki str., University Campus of Patras, Rion; Computer Technology Institute and Press “Diophantus”, “D. Maritsas” Building, N. Kazantzaki str., University Campus of Patras, Rion; Department of Informatics and Telecommunications, University of Ioannina; Computer Technology Institute and Press “Diophantus”, “D. Maritsas” Building, N. Kazantzaki str., University Campus of Patras, Rion",2020 International Conference on Information Technologies (InfoTech),"2 Oct 2020","2020","","","1","5","A virtual reality environment offers advanced simulation abilities for training purposes to increase interactive learning experience. The aim of this paper is the investigation and designing of a virtual reality environment to simulate the fire spread inside a room based on a well-known approach called Fire Dynamic Simulator (FDS). FDS achieves a realistic and accurate approach in describing any fire spread, due to its advanced mathematics formulas and models. The visualization of the fire spread in a VR system is more realistic by entering accurate data, which could be provided by the FDS. This virtual reality application could be used for fire extinguishing simulations. Utilizing FDS technical scientific methods, we can borrow and customize them so that we can make a more comprehensive application in Unity in the future to create a full environment with multiple possibilities. This might be supportive for firefighting training and knowledge about how fire evolves. This offers the opportunity to improve firefighting training in an ecofriendly virtual environment with affordable validity, leading in a safe evaluation of fire behavior in various scenarios that would otherwise be very dangerous to examine.","","978-1-7281-6914-9","10.1109/InfoTech49733.2020.9211048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211048","Fire Dynamics Simulator (FDS);Fire simulation;Fire training simulator;Virtual Reality;Unity 3D","Fires;Solid modeling;Training;Mathematical model;Virtual reality;Computational modeling;Computational fluid dynamics","","7","","17","IEEE","2 Oct 2020","17-18 Sept. 2020","17-18 Sept. 2020","IEEE","IEEE Conferences"
"FDS Research on Smoke Control in the Stair Enclosure of a High-Rise Building Fire Event","Y. Haowei; L. Dong; H. Zhijian; S. Lee; Z. Yiming; C. Zepeng; H. Bingyu","Sun Yat-Sen University, Guangzhou, Guangdong, CN; School of Engineering, Sun Yat-sen University, Guangzhou, China; Sun Yat-Sen University, Guangzhou, Guangdong, CN; Fanwo Electronic Co., Ltd, Shenzhen, China; Fan wo Electron. Co., Ltd., Shenzhen, China; Fan wo Electron. Co., Ltd., Shenzhen, China; Fan wo Electron. Co., Ltd., Shenzhen, China",2009 International Conference on Energy and Environment Technology,"28 Dec 2009","2009","3","","70","73","The paper briefly reviewed the methods of smoke control in a high-rise building fire accident and the research status of this topic. It shows that the stair enclosure, which is almost the only path for the building occupants to safely egress the building during a fire event in a high-rise building, plays a very important role in the performance based design of a high-rise building. Four fire scenarios of a stair enclosure, namely no measure, natural ventilation, pressurization and dilution, are simulated by FDS. The simulation results are compared and analysis to obtain the optimal solution. The further studies also address.","","978-0-7695-3819-8","10.1109/ICEET.2009.483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366732","fire event;performance-based design;smoke control;FDS","Fires;Buildings;ISO standards;Computational fluid dynamics;Control systems;Safety;Europe;Computational modeling;NIST;Paper technology","","","","8","IEEE","28 Dec 2009","16-18 Oct. 2009","16-18 Oct. 2009","IEEE","IEEE Conferences"
"Simulation of fire evacuation in a high-rise office building","W. Bai; Y. Huo; G. W. Zou; Y. Gao","College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China; College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China; College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China; College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China",2015 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"21 Jan 2016","2015","","","1704","1708","In order to find out the evacuation process of people when fire occurs in a high-rise building, the evacuation process in a ten-storey telecom office building is simulated under different opening conditions by using FDS+Evac software. The temperature field, smoke layer height and toxic gas index are analysed quantificationally. The results prove that about 70% of time is wasted in the stairs because of the stoppage during people evacuation. The exit numbers have little effect on the evacuation time if the number of people is small and they are familiar with the exits. However, adding another stair case in the building is able to reduce 1/3 time of evacuation.","","978-1-4673-8066-9","10.1109/IEEM.2015.7385938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7385938","high-rise building fire;evacuation;FDS+Evac;computer simulation","Floors;Fires;Numerical models;Computational modeling;Force;Personnel","","7","","14","IEEE","21 Jan 2016","6-9 Dec. 2015","6-9 Dec. 2015","IEEE","IEEE Conferences"
"Study on Hotel Fire Investigation Based on FDS","Y. Liu; Z. -S. Xu; L. Yan","Institute of Disaster Prevention Science and Safety Technology, Central South University, Changsha, China; Institute of Disaster Prevention Science and Safety Technology, Central South University, Changsha, China; Institute of Disaster Prevention Science and Safety Technology, Central South University, Changsha, China",2014 7th International Conference on Intelligent Computation Technology and Automation,"8 Jan 2015","2014","","","697","700","This article is main to confirm the hotel fire development process and to analyze the main cause of death. Based on the hotel fire investigation results, a FDS simulation model was used to analyze the temperature field, CO concentration and volume fraction of O2 about 1.5m above each death point. Then, the time that each factor reaches a critical condition such as limiting temperature of human body, CO lethal concentration and limiting volume fraction of oxygen were calculated. The results show that the cause of death through judging the factor which spend the least time to reach the critical condition. 361 seconds after hotel fire occurred, the interlayer fire reached its heyday. 478 seconds after hotel fire occurred, each floor rooms smoke entered, and smoke sank to the ground. Meanwhile, the trapped man who located in death point 1, 2 and 3 was probably to die because of high temperature while 220 seconds after fire occurred. The trapped man failed to escape in time on death point 4, 5, 6, 7, 8 and 9 was probably die for CO poisoning. The results of combining fire investigation with FDS simulation show that numerical reconstruction methods can simulate the fire accidents effectively.","","978-1-4799-6636-3","10.1109/ICICTA.2014.170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7003633","Numerical Simulation;Fire Investigation;Hotel Fire;FDS;Cause of Death","Fires;Floors;Temperature;Computational modeling;Software;Numerical models","","2","","11","IEEE","8 Jan 2015","25-26 Oct. 2014","25-26 Oct. 2014","IEEE","IEEE Conferences"
"Simulation of the Fire in the Working of Coal Mine Using the Fire Dynamics Simulator Software","A. I. Kin; A. I. Sidorenko","Biysk Technological Institute, Biysk, Russia; Biysk Technological Institute, Biysk, Russia",2020 21st International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices (EDM),"31 Jul 2020","2020","","","276","284","Fire simulation in the working of coal mine using the Fire Dynamic Simulator software package was carried out. The most probable scenario of the fire growth associated with the combustion of the conveyor belt in the conveyor working of coal mine was determined. An approach was chosen basing on the simulation of gas-phase combustion taking into account the internal processes occurring in the material by setting specific rate of solid material combustion. The main analytical dependencies for simulation were formulated, on the basis of which a computer model was developed. Large Eddy Simulation (LES) method was used to describe the turbulent flow during a fire. The Deardorff subgrid model is used to calculate turbulent viscosity. The combustion model is an infinitely fast reaction model. The thermal radiation model involves solving the radiation transfer equation basing on the control volume method. The influence of the ventilation flow rate on the fire propagation rate during the process of the model verification is analyzed. Maximum speed of fire propagation is reached-0.017 m/s at the speed of ventilation flow from 1.5 to 3 m/s. During the simulation, the influence of the inlet airflow rate on the concentration of CO and CO2 was revealed. In addition, the inlet air velocity significantly affects the temperature and heat dissipation power. The maximum values of temperature and power ranged from 420 to 670° c and from 2 to 9 MW, respectively. The duration of the growth fire stage, depending on the inlet airflow rate, varies from 300 s to 600 s.","2325-419X","978-1-7281-6846-3","10.1109/EDM49804.2020.9153487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153487","simulation;fire scenario;coal mine;Fire Dynamic Simulator.","Fires;Computational modeling;Belts;Combustion;Mathematical model;Coal mining;Heating systems","","4","","23","IEEE","31 Jul 2020","29 June-3 July 2020","29 June-3 July 2020","IEEE","IEEE Conferences"
"Agent-based evacuation model incorporating fire scene and building geometry","F. Tang; A. Ren","Department of Civil Engineering, Tsinghua University, Beijing 100084, China; Department of Civil Engineering, Tsinghua University, Beijing 100084, China",Tsinghua Science and Technology,"17 Jan 2012","2008","13","5","708","714","A comprehensive description of the key factors affecting evacuations at fire scenes is necessary for accurate simulations. An agent-based simulation model which incorporates the fire scene and the building geometry is developed using a fire dynamics simulator (FDS) based on the computational fluid dynamics and geographic information system (GIS) data to model the occupant response. The building entities are generated for FDS simulation while the spatial analysis on GIS data represents the occupant's knowledge of the building. The influence of the fire is based on a hazard assessment of the combustion products. The agent behavior and decisions are affected by environmental features and the fire field. A case study demonstrates that the evacuation model effectively simulates the coexistence and interactions of the major factors including occupants, building geometry, and fire disaster during the evacuation. The results can be used for the assessments of building designs regarding fire safety.","1007-0214","","10.1016/S1007-0214(08)70115-9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6074190","evacuation;fire safety;multi-agent;fire dynamics simulator (FDS);geographic information system (GIS)","Fires;Computational modeling;Geometry;Geographic Information Systems;Floors;Data models","","8","","","","17 Jan 2012","Oct. 2008","","TUP","TUP Journals"
"Analysis of Fire Propagation in Electrical Cable Trays Using the FLASH-CAT Model","H. -M. Kang; J. Lee; Y. -S. Moon; H. -Y. Lee","Division of Smart Convergence Engineering, Changshin University, Changwon, South Korea; Department of Reactor System, Korea Institute of Nuclear Safety, Daejeon, South Korea; Department of Research and Development Planning, Korea Institute of Nuclear Safety, Daejeon, South Korea; Division of Smart Convergence Engineering, Changshin University, Changwon, South Korea",IEEE Transactions on Magnetics,"26 Nov 2024","2024","60","12","1","4","In this study, a novel fire modeling procedure was proposed for the computational fluid dynamics (CFDs) simulation of electrical cable tray fires for improving fire safety in nuclear power plants (NPPs). The simulation conditions were selected from cable fire experiments that were conducted in an open atmosphere and enclosed compartment conditions, as part of the PRISME-3 (French acronym for “Fire Propagation in Elementary Multi-Room Scenarios”) project, an international cooperative project that was carried out under the auspices of the Nuclear Energy Agency (NEA) of Organization for Economic Co-operation and Development (OECD). To solve the CFD problem of heat and smoke flow caused by electrical cable fire, we used a fire dynamics simulator (FDS) model based on the Naver-Stoke’s equation, which is suitable for low-speed heat flow. In the FDS model, the heat release rate per unit area (HRRPUA), fire duration, and physical properties of the cable were considered as main input parameters and boundary conditions to perform the cable fire simulation analysis. The HRRPUA time curve for cable fires was assumed to be the FLASH-CAT model presented in NUREG-7010. To validate the FDS model with the experimental results of cable tray fire scenarios, we compared simulation results by different cable fire models to find a cable fire model that is consistent with the experimental results.","1941-0069","","10.1109/TMAG.2024.3440573","Nuclear Safety Research Program through Korea Foundation Of Nuclear Safety (KoFONS) using the financial resource granted by the Nuclear Safety and Security Commission (NSSC) of Republic of Korea(grant numbers:2106006-0323-WT112); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10630874","Cable fire propagation;fire dynamics simulator (FDS);FLASH-CAT model;PRISME project","Power cables;Predictive models;Numerical models;Mathematical models;Analytical models;Computational modeling;Communication cables","","1","","13","IEEE","8 Aug 2024","Dec. 2024","","IEEE","IEEE Journals"
