"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Numerical Simulation for Fire Emergency Planning in a Home Appliances Factory","W. Chanthakhot; K. Ransikabum","Department of Industrial Engineering, Ubon Ratchathani University, Ubon Ratchathani, Thailand; Department of Industrial Engineering, Ubon Ratchathani University, Ubon Ratchathani, Thailand","2019 Research, Invention, and Innovation Congress (RI2C)","17 Feb 2020","2019","","","1","5","Home Appliances (HA) factories commonly use fire combustible materials in manufacturing process, such as paper and plastic. When the fire occurs, the flammable materials rapidly and excessively heat and smoke. Lack of fire management plan can result in property damage and casualties. Thus, it is essential to evaluate risk from fire in order to plan for fire evacuation properly. In this study, we aim to simulate fire in HA factory comprised of industrial area, storage space, and offices., The Fire Dynamics Simulator (FDS) software called PyroSim is used to analyze the simulated fire; in which the spread of smoke, the temperature profile, the potential visibility, and CO2 are analyzed. The initial results show that the fire-smoke will spread very rapidly and can completely block the visibility of the escape routes from the fire room after about 4 minutes from when the fire occurs. This study is expected to not only give an understanding of fire characteristics, but also to make a proper decision regarding fire protection designs and to assess evacuation plans.","","978-1-7281-4100-8","10.1109/RI2C48728.2019.8999928","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999928","fire dynamics simulation (FDS);smoke spread;home appliances factory;emergency planning","Home appliances;Technological innovation;Temperature;Buildings;Production facilities;Planning;Plastics","","4","","23","IEEE","17 Feb 2020","11-13 Dec. 2019","11-13 Dec. 2019","IEEE","IEEE Conferences"
"Fire Evacuation Path Planning Based on Ant Colony Algorithm","X. Liu; M. Zhang","Beijing Polytechnic University, Beijing, China; Beijing Polytechnic University, Beijing, China",2025 5th International Conference on Advanced Algorithms and Neural Networks (AANN),"1 Dec 2025","2025","","","672","676","In fire emergencies within university laboratory buildings, complex layouts and dense populations often lead to severe casualties. To overcome the limitations of traditional Ant Colony Optimization (ACO) in dynamic fire conditions, this study proposes an enhanced evacuation path planning method. Key environmental factors (temperature, CO concentration, visibility, and crowd density) are incorporated into a multi-factor path evaluation model based on Equivalent Evacuation Distance. An adaptive pheromone update and a target-guided heuristic are introduced to improve convergence and robustness. Simulation experiments on a 2D grid model derived from an actual floor plan, using FDS data in MATLAB, validate the method's effectiveness. Results show that the improved ACO generates safer, smoother, and faster-converging paths, demonstrating strong adaptability in complex fire scenarios.","","979-8-3315-9736-8","10.1109/AANN66429.2025.11257653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11257653","fire evacuation;ant colony optimization;path planning;environmental modeling;equivalent evacuation distance","Ant colony optimization;Adaptation models;Temperature;Neural networks;Layout;Path planning;Robustness;Mathematical models;MATLAB;Floors","","","","5","IEEE","1 Dec 2025","15-17 Aug. 2025","15-17 Aug. 2025","IEEE","IEEE Conferences"
"RFES: A Real-Time Fire Evacuation System for Mobile Web3D","F. -T. Yan; Y. -H. Hu; J. -Y. Jia; Q. -H. Guo; H. -H. Zhu; Z. -G. Pan","School of Electronic and Electrical Engineering, Shanghai University of Engineering Science, Shanghai, China; School of Software Engineering, Tongji University, Shanghai, China; School of Software Engineering, Tongji University, Shanghai, China; School of Civil Engineering, Tongji University, Shanghai, China; School of Civil Engineering, Tongji University, Shanghai, China; Research Center of Digital Media and Human-Computer Interaction, Hangzhou Normal University, Hangzhou, China",Frontiers of Information Technology & Electronic Engineering,"16 Dec 2025","2019","20","8","1061","1074","There are many bottlenecks that limit the computing power of the Mobile Web3D and they need to be solved before implementing a public fire evacuation system on this platform. In this study, we focus on three key problems: (1) The scene data for large-scale building information modeling (BIM) are huge, so it is difficult to transmit the data via the Internet and visualize them on the Web; (2) The raw fire dynamic simulator (FDS) smoke diffusion data are also very large, so it is extremely difficult to transmit the data via the Internet and visualize them on the Web; (3) A smart artificial intelligence fire evacuation app for the public should be accurate and real-time. To address these problems, the following solutions are proposed: (1) The large-scale scene model is made lightweight; (2) The amount of dynamic smoke is also made lightweight; (3) The dynamic obstacle maps established from the scene model and smoke data are used for optimal path planning using a heuristic method. We propose a real-time fire evacuation system based on the ant colony optimization (RFES-ACO) algorithm with reused dynamic pheromones. Simulation results show that the public could use Mobile Web3D devices to experience fire evacuation drills in real time smoothly. The real-time fire evacuation system (RFES) is efficient and the evacuation rate is better than those of the other two algorithms, i.e., the leader-follower fire evacuation algorithm and the random fire evacuation algorithm.","2095-9230","","10.1631/FITEE.1700548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11289976","Fire evacuation drill;Building information modeling (BIM) building space;Mobile Web3D;Real-time fire evacuation system based on ant colony optimization (RFES-ACO) algorithm","Radio frequency;Ant colony optimization;Heuristic algorithms;Simulation;Buildings;Data visualization;Real-time systems;Data models;Path planning;Internet","","","","25","","16 Dec 2025","August 2019","","ZUP","ZUP Journals"
"Numerical simulation of mine fire based on the FDS","Du Cuifeng; Liu Zhiwei; Guo Qianqian","School of civil and Environment engineering, University of Science and Technology Beijing, Beijing, China; School of civil and Environment engineering, University of Science and Technology Beijing, Beijing, China; School of civil and Environment engineering, University of Science and Technology Beijing, Beijing, China",2011 International Conference on Electric Technology and Civil Engineering (ICETCE),"27 May 2011","2011","","","500","503","In the paper, the 3D model of the Jinlinshan mine ventilation system was built with the FDS software, then the electric cable fire was set at the mine shaft station, then the process of smoke spreading was simulated with use of the model of mixture Fraction Combustion. The variation of the parameters including the smoke temperature, CO concentration and visibility in the tunnel along with time were obtained through the analysis of the FDS simulation result, and the hazard zone during the fire was determined, which provided the theoretical basis to formulate emergency plan and to conduct mine anti-wind.","","978-1-4577-0290-7","10.1109/ICETCE.2011.5775168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5775168","FDS;mine fire;smoke spread;mine ventilation;Numerical simulation","Fires;Shafts;Fuel processing industries;Temperature measurement;Atmospheric modeling;Mathematical model;Ventilation","","1","","15","IEEE","27 May 2011","22-24 April 2011","22-24 April 2011","IEEE","IEEE Conferences"
"Numerical Simulation on the Breakage of Glass Curtain in a Tower Building Fire","J. -H. Wang; J. -J. Chen; X. -J. Guo; Z. Fang","Wuhan University, Wuhan, China; Wuhan University, Wuhan, China; Wuhan University, Wuhan, China; Wuhan University, Wuhan, China",2014 7th International Conference on Intelligent Computation Technology and Automation,"8 Jan 2015","2014","","","396","399","This essay studies the breakage of glass curtain due to the fire in a tower building with a CFD (computation fluid dynamics) based simulation package (FDS). The heat release rate of fire is 6MW which determined by the function of the tower. The results shows temperature in vertical direction change a lot. Since the tress generated by temperature difference is the cause of glass breakage, glass size has influence on their fire-resistance performance. In the simulation, the optimal size of tempered glass under certain condition is put forward.","","978-1-4799-6636-3","10.1109/ICICTA.2014.102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7003565","Tower building;Fire;Tempered glass;Breakage;FDS","Fires;Glass;Floors;Mathematical model;Poles and towers;Equations","","2","","10","IEEE","8 Jan 2015","25-26 Oct. 2014","25-26 Oct. 2014","IEEE","IEEE Conferences"
"Building Fire Information Simulation Based on BIM Technology","Y. Gan; W. Zhang; J. Zhang","College of Urban Construction, Guangzhou Huali Science and Technology Vocational College, Guangdong, China; School of Electrical Engineering and Automation, Harbin Institute of Technology, Harbin, China; College of Urban Construction, Guangzhou Huali Science and Technology Vocational College, Guangdong, China",IECON 2023- 49th Annual Conference of the IEEE Industrial Electronics Society,"16 Nov 2023","2023","","","1","6","In this paper, the building information modelling (BIM) of a large theatre building is established based on the drawings, and the overall design is carried out according to the actual structure of the building, relevant industry norms and fire protection system requirements, including identification, control and evacuation modules. Based on this model, the fire dynamics simulator (FDS) tool is used to conduct a numerical simulation of fire, and the characteristics of different fires in different regions are studied by laying fire detectors, and the physical characteristics of each stage of fire development are recorded, which provides support for the research of multi-sensor data fusion.","2577-1647","979-8-3503-3182-0","10.1109/IECON51785.2023.10312378","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10312378","BIM technology;fire dynamics simulation;information synthesis;data analysis","Industries;Industrial electronics;Temperature distribution;Heuristic algorithms;Layout;Detectors;Numerical simulation","","1","","12","IEEE","16 Nov 2023","16-19 Oct. 2023","16-19 Oct. 2023","IEEE","IEEE Conferences"
"Effect of Window Arrangement on Controlling the Smoke Spread in a Refuge Floor","W. H. H. A. Kariyawasam; K. M. H. K. Bandara; G. W. D. K. A. Withanage; R. A. C. P. Ranasinghe","Dept. of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Dept. of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Dept. of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Dept. of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka",2019 Moratuwa Engineering Research Conference (MERCon),"29 Aug 2019","2019","","","436","440","In this study, it is expected to improve the survivable conditions inside the refuge floor by using natural ventilation. Refuge floor at 33rd floor in tower A of KRRISH square was selected for the case study. FDS was used to proceed CFD analysis. Mathematical models such as turbulence models used for the simulations were validated in two methods. Results of the validations were with good comparison. Investigations were performed for current window configuration and proposed a modified window set up that have better survivable conditions. Temperature, Carbon Monoxide concentration and visibility were selected as the parameters to investigate the survivable condition. It was shown that the proposed window configuration was more suitable than the existing window set up using those selected parameters. Comparisons were performed using graphs and slices of selected parameters. Importance of using cross ventilation, effectiveness of using windows to control wind speed inside the floor could be suggested as the considerations for designing window setups in refuge floors.","","978-1-7281-3632-5","10.1109/MERCon.2019.8818898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8818898","high-rise buildings;refuge floor;natural ventilation","Floors;Ventilation;Windows;Wind;Mathematical model;Computational modeling","","","","24","IEEE","29 Aug 2019","3-5 July 2019","3-5 July 2019","IEEE","IEEE Conferences"
"Analysis of Fire Propagation in Electrical Cable Tray Using the FLASH-CAT Model","H. -M. Kang; J. Lee; Y. -S. Moon; H. -Y. Lee","Division of Smart Convergence Engineering, Changshin University, Changwon, Repulic of korea; Department of Reactor System Evaluation, Korea Institute of Nuclear Safety, Busan, Repulic of korea; Department of Innovation strategy Center, Korea Institute of Nuclear Safety, Daejeon, Repulic of korea; Division of Smart Convergence Engineering, Changshin University, Changwon, Repulic of korea",2024 IEEE 21st Biennial Conference on Electromagnetic Field Computation (CEFC),"16 Jul 2024","2024","","","01","02","In this study, a numerical method for fire modeling of electrical cable tray fires was developed for the purpose of improving fire safety in Nuclear Power Plants (NPPs). The simulation model was selected from cable fire experiments conducted under open atmosphere and enclosed compartment conditions from the fire propagation in elementary multi-compartment scenarios (PRISME) campaign, an international cooperative project of the Nuclear Energy Agency (NEA) of OECD. To solve the computational fluid dynamics problem of heat and smoke flow caused by fire, a numerical solution is obtained based on the Naver-Stoke's equation, which is suitable for low-speed heat flow. The governing equations consist of the mass, momentum, and energy conservation equations of the fluid and the ideal state equation as the governing equations, and the heat release rate per unit area, fire duration, and physical properties of the cable are considered as boundary conditions to perform the cable fire simulation analysis. The heat release rate curve for cable fires was assumed to be the FLASH-CAT model presented in NUREG/CR-7010. Based on the experimental results of cable fire scenarios, we developed a fire modeling procedure and applied various cable fire models to successfully develop an analysis method that is in good agreement with the experimental results.","","979-8-3503-4895-8","10.1109/CEFC61729.2024.10586092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10586092","PRISME project;Fire Dynamics Simulator;Cable Fire Propagation;FLASH-CAT Model","Heating systems;Analytical models;Nuclear energy;Fluids;Computational modeling;Atmospheric modeling;Mathematical models","","","","6","IEEE","16 Jul 2024","2-5 June 2024","2-5 June 2024","IEEE","IEEE Conferences"
"Numerical Study of the Performance of Automatic Sprinkler System in Dense Equipment Room","Y. Zeng; K. Hon-Leung Wong; L. Chen","Arup, Shenzhen, China; Arup, Shenzhen, China; Arup, Beijing, China",2019 9th International Conference on Fire Science and Fire Protection Engineering (ICFSFPE),"6 Apr 2020","2019","","","1","7","Components, such as duct and pipe, that heavily installed in some of the special equipment room might become the obstacles affecting the effectiveness of designed automatic sprinkler system. A steam feed pump room in a citywide critical industrial site was numerically investigated using the Fire Dynamics Simulator (FDS), which aims to evaluate the performance of sprinkler system as designed and to provide remedial advices. Design fire scenarios were established with and without obstruction, and compared in regard to the sprinkler head activation as well as the development of fire. The results suggested that obstacles in the higher space of the room (e.g. lifting equipment) could obstruct the smoke spread as commonly known. Comparing to the scenario without obstruction, a more significant rise on smoke layer temperature between obstacles occurred in obstruction scenario, which led to a quicker sprinkler response and more number of sprinklers activated. Furthermore, the vertical obstacle directly above the steam pump could guide the spraying water to the burning surface, resulting in an earlier decay of fire. Nevertheless, a blind area for the performance of sprinkler system formed beneath the horizontal obstacle in lower-level zone which presented a serious hazard. Therefore, it is suggested that a comprehensive analysis should be carried out for all the crucial equipment rooms, supplemented by numerical simulation, such that the performance of the designed automatic sprinkler system could be guaranteed.","","978-1-7281-5322-3","10.1109/ICFSFPE48751.2019.9055794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9055794","Equipment room fire;Obstruction;Sprinkler system performance;Blind area;FDS","System performance;Layout;Spraying;Numerical simulation;Software;Hazards;Time factors;Feeds;Protection;Lifting equipment","","2","","11","IEEE","6 Apr 2020","18-20 Oct. 2019","18-20 Oct. 2019","IEEE","IEEE Conferences"
"MARL-HE: An Improved Multi-agent Reinforcement Learning-based Pathfinding Method for Fire Evacuation Guidance","K. Zhang; D. Zhu; X. Zhao; S. Cherry; Y. Fujisawa; T. Sugawara","Dept. of Computer Science, Waseda University, Tokyo, Japan; Dept. of Artificial Intelligence, China University of Petroleum, Beijing, China; Dept. of Computer Science, Waseda University, Tokyo, Japan; Dept. of Computer Science, Waseda University, Tokyo, Japan; Dept. of Computer Science, Waseda University, Tokyo, Japan; Dept. of Computer Science, Waseda University, Tokyo, Japan",2025 International Joint Conference on Neural Networks (IJCNN),"14 Nov 2025","2025","","","1","8","In the multi-agent pathfinding problem, an agent may have multiple possible destinations, each of which must be appropriately selected in terms of conflict avoidance and shortest path. For example, in an evacuation system when faced with a fire hazard in a building with multiple exits for evacuation, agents need to consider not only the shortest path but also the conflicts of other agents and the fire spread to respond appropriately. However, recent reinforcement-learning-based evacuation pathfinding methods only consider the scenarios of independent individual agents and ignore the influence of other agents and the spread of fire, limiting their application to evacuation. To address these issues, we propose a multi-agent reinforcement learning for pathfinding during hazard evacuation (MARL-HE), which is integrated into reinforcement learning with two novel components: an efficient artificial potential field adapter (APF-adapter) and policy-sharing-enhanced multi-agent proximity policy optimization (PS-MAPPO). The APF adapter utilizes an artificial potential field to eliminate the dynamic state transitions during hazard evacuation. PS-MAPPO leverages policy sharing by determining which other agents each agent has to share part of their policy model to accelerate training efficiency. To evaluate our method, we built a multi-agent fire evacuation guidance system (MAFEGS), a Unity-based fire hazard environment. The experimental results show that our MARL-HE method achieved a 7.02% higher evacuation success rate and 25.12% lower average evacuation number than MAPPO. MAFEGS can plan a safer and faster evacuation guidance path to keep individual safe and increase evacuation efficiency. The simulation environment and code can be downloaded from: https://github.com/ColaZhang22/PS_MARL_PF.","2161-4407","979-8-3315-1042-8","10.1109/IJCNN64981.2025.11229006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229006","Fire evacuation guidance;Multi-agent pathfinding;Distributed multi-agent reinforcement learning;Policy sharing;artificial potential field","Training;Limiting;Codes;Computational modeling;Buildings;Neural networks;Reinforcement learning;Hazards;Real-time systems;Optimization","","","","20","IEEE","14 Nov 2025","30 June-5 July 2025","30 June-5 July 2025","IEEE","IEEE Conferences"
"Simulation of Dustiness in the Blind Drift of Coal Mine","S. A. Lisakov; A. I. Sidorenko; E. V. Sypin","Biysk Technological Institute, Biysk, Russia; Biysk Technological Institute, Biysk, Russia; Biysk Technological Institute, Biysk, Russia",2020 21st International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices (EDM),"31 Jul 2020","2020","","","253","262","Computer simulation of the dustiness in the blind drift of coal mine was carried out. The most probable scenario for the occurrence of dustiness in the blind drift of coal mine, during the operation of mining combine, connected with the shutdown of the irrigation system due to clogging of nozzles, is determined. In this case, the determining factor affecting dustiness is the ventilation mode of operation and the associated air flow rate in the mine. The Fire Dynamics Simulator (FDS) software package of computational fluid dynamics is proposed to be used. The calculations were performed using the Large Eddy Simulation (LES) turbulence model, in the approximation of low Mach numbers (Ma <0.3)(subsonic approximation), the Deardorff model for calculating of the turbulent viscosity, and the model based on the discrete-path Euler-Lagrange method for describing of the two-phase flow. Analytical dependencies and initial data for modeling were determined: geometric parameters of the blind drift, ventilation and dust emission parameters, dispersed dust composition, initial conditions. The adequacy of the computer model developed was verified on the basis of experimental data obtained by testing the dynamics of dust aerosols at the test bench – ""MGU Shakhtpozhservice"" LLC. The adequacy of the developed computer model is confirmed based on satisfactory agreement of the simulation results with experimental data. The results of dustiness modeling in the blind drift were analyzed. The distribution of the coal dust mass concentration over the blind drift cross sections for various air flow values of 2.4, 3.6 and 4.8 m3/s is shown. The concentration of coal dust in the area of local ventilation fan jet action is significantly higher – up to 1.8 g/m3 for suspended dust than in the translational movement zone with permissible value of 150 mg/m3. The dependences of the concentrations for suspended and precipitated coal dust along the length of the blind drift were obtained. As a result of dispersed composition analysis, the following were established: the main maxima of the suspended particles size distribution functions by mass correspond to particle diameters of 5-7 microns, in addition, particles with diameters from 20 to 40 microns constitute a significant proportion; significant dust deposition with a diameter of more than 50 microns.","2325-419X","978-1-7281-6846-3","10.1109/EDM49804.2020.9153340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153340","Modeling;dustiness;coal dust;air velocity;blind drift;Fire Dynamics Simulator.","Computational modeling;Coal;Coal mining;Mathematical model;Data models;Atmospheric modeling;Fuel processing industries","","","","26","IEEE","31 Jul 2020","29 June-3 July 2020","29 June-3 July 2020","IEEE","IEEE Conferences"
"Numerical Simulation and Detection Response Analysis of Fire in a Large Space Building","Q. Zhang; X. -T. Yang","Chinese People Armed Police Force Academy, Lang Fang, China; Chinese People Armed Police Force Academy, Lang Fang, China",2014 7th International Conference on Intelligent Computation Technology and Automation,"8 Jan 2015","2014","","","388","391","The fire dynamics software FDS was used for fire in large space buildings to carry on the numerical simulation, and the different sizes of three kinds of fire - cotton rope smoldering fire, n-heptane flame and shredding smoldering fire were explored for their respective smoke movement law, and the response characteristics of linear infrared beam smoke detector were analyzed. Through simulation, different fire smoke movement law was found, and there was a significant difference between the fire sources, fire scale and installation position of detectors, which will all affect the response time of the fire detector.","","978-1-4799-6636-3","10.1109/ICICTA.2014.100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7003563","Large spaces building;Fire simulation;Linear beam smoke detector","Fires;Buildings;Smoke detectors;Cotton;Numerical models;Detectors;Time factors","","3","","4","IEEE","8 Jan 2015","25-26 Oct. 2014","25-26 Oct. 2014","IEEE","IEEE Conferences"
"Numerical simulation study on bus fire","Xiaonan Zhang; Xishi Wang; Yang Zhou","State Key Laboratory of Fire Science, University of Science and Technology, Hefei, China; State Key Laboratory of Fire Science, University of Science and Technology, Hefei, China; State Key Laboratory of Fire Science, University of Science and Technology, Hefei, China","2011 International Conference on Remote Sensing, Environment and Transportation Engineering","28 Jul 2011","2011","","","511","515","With the development of urbanization, more and more buses come into people's lives, and a lot of bus fires have occurred to personnel and properties in occupied areas. So this paper aimed at the typical bus fires, through setting different fire scenarios, dynamic process of bus fires was studied by using FDS, and the effects of combustible material type, fire source location and ventilation on smoke spread, temperature and heat release rate were discussed. The results could provide some information for risk assessment and prevention of bus fire.","","978-1-4244-9171-1","10.1109/RSETE.2011.5964326","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5964326","bus fire;FDS;numerical simulation;temperature;smoke","Fires;Combustion;Ventilation;Heating;Plastics;Numerical simulation","","2","","8","IEEE","28 Jul 2011","24-26 June 2011","24-26 June 2011","IEEE","IEEE Conferences"
"Simulation Research on Fire Evacuation of Large Public Buildings Based on Building Information Modeling","F. Wang; X. Xu; M. Chen; J. Nzige; F. Chong","Department of Management Science and Engineering, Anhui University of Technology, Ma'anshan, China; Department of Management Science and Engineering, Anhui University of Technology, Ma'anshan, China; Department of Management Science and Engineering, Anhui University of Technology, Ma'anshan, China; Department of Water Supply and Irrigation Engineering, Water Institute Tanzania, Dar es Salaam, Tanzania; Department of Management Science and Engineering, Anhui University of Technology, Ma'anshan, China",Complex System Modeling and Simulation,"29 Jul 2021","2021","1","2","122","130","Reasonable evacuation strategies are important in reducing casualties in the event of a fire. In this work, we conduct a simulation of a fire evacuation of a large public building based on the building information modeling technology to find the best evacuation strategy. We identify the tolerance limit of evacuees in case of a fire as the basis of the simulation using the fire dynamics simulator software. The following four evacuation strategies are proposed and simulated: stratified evacuation only by stairs, stratified evacuation mainly by stairs and supplemented by fire elevators, holistic evacuation only by stairs, and holistic evacuation mainly by stairs and supplemented by fire elevators. The case study of a college canteen shows that if 10% of evacuees (mainly elderly people who walk slowly and children who take up less space) are instructed to evacuate via fire elevators and the other 90% of evacuees (young men and women who move fast) use the stairs, the evacuation time can be reduced to a minimum. Some improvements in the design drawing result in the enhanced efficiency of the proposed strategy. The findings of this work are of great significance for the optimization of the structural design of large public buildings and provide some references for emergency evacuation.","2097-3705","","10.23919/CSMS.2021.0012","National Natural Science Foundation of China(grant numbers:71872002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9502051","Building Information Modeling (BIM);evacuation simulation;stairs-elevators combined evacuation model","Simulation;Buildings;Senior citizens;Stairs;Elevators;Software;Complex systems","","14","","19","","29 Jul 2021","June 2021","","TUP","TUP Journals"
"Computer modeling and simulation of a townhouse fire dynamic field characteristics","C. -S. Lin; S. -C. Wang; T. -C. Chen","Yuan Ze University, Chung-Li, Taoyuan, TW; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan 32003, R.O.C; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan 32003, R.O.C",2012 IEEE Symposium on Electrical & Electronics Engineering (EEESYM),"6 Aug 2012","2012","","","113","116","Numerous building fires occurred in Taiwan over the past thirty years, which caused considerable loss in human life and damage to property. Actual fires provide valuable information for fire protection research. Computer simulations can be used to effectively model the fire and obtain useful and quantitative information to study the crucial fire dynamic characteristics. The FDS (Fire Dynamic Simulator) software was used to develop a computer simulation model to investigate the fire incident that occurred in a townhouse of An-Kon Village, Longtan, Taoyuan, Taiwan. The histories of the various crucial parameters, such as temperature, CO concentration, and smoke layer height during the fire time domain were obtained. Results were consistent with the post accident reports. The information calculated may be useful for future fire safety assessment and fire protection engineering evaluation of similar buildings.","","978-1-4673-2365-9","10.1109/EEESym.2012.6258601","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6258601","fire;computer simulation;FDS","Concrete;Fires;Floors;Communities;Image reconstruction;Lead;Heating","","4","","17","IEEE","6 Aug 2012","24-27 June 2012","24-27 June 2012","IEEE","IEEE Conferences"
"Convolutional Neural Network Aided Chemical Species Tomography for Dynamic Temperature Imaging","Y. Fu; R. Zhang; G. Enemali; A. Upadhyay; M. Lengden; C. Liu","School of Engineering, The University of Edinburgh, Edinburgh, UK; School of Engineering, The University of Edinburgh, Edinburgh, UK; School of Engineering, The University of Edinburgh, Edinburgh, UK; Department of Electronic and Electrical Engineering, The University of Strathclyde, Glasgow, UK; Department of Electronic and Electrical Engineering, The University of Strathclyde, Glasgow, UK; School of Engineering, The University of Edinburgh, Edinburgh, UK",2022 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),"30 Jun 2022","2022","","","1","5","Chemical Species Tomography (CST) using Tunable Diode Laser Absorption Spectroscopy (TDLAS) is an in-situ technique to reconstruct the two-dimensional temperature distributions in combustion diagnosis. However, limited by the lack of projection data, traditionally computational tomographic algorithms are inherently rank-deficient, causing artefacts and severe uncertainty in the retrieved images. Recently, data-driven approaches, such as deep learning algorithms, have been validated to be more accurate and stable for CST. However, most attempts modelled the phantoms using two-dimensional Gaussian profiles to construct the training set, enabling reconstruction of only simple and static temperature fields and can seldom retrieve the dynamic and instantaneous temperature imaging. To address this problem, we use Fire Dynamics Simulator (FDS) to simulate the dynamic and fire-driven reacting flows for training set construction. Based on this training set, a Convolutional Neural Network (CNN) is designed. This newly introduced method is validated by numerical simulation, indicating good accuracy and sensitivity in monitoring dynamic flames.","2642-2077","978-1-6654-8360-5","10.1109/I2MTC48687.2022.9806699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9806699","Dynamic;temperature imaging;Convolutional Neural Network (CNN);Tunable Diode Laser Absorption Spectroscopy (TDLAS);Chemical Species Tomography","Training;Temperature sensors;Temperature measurement;Temperature distribution;Absorption;Heuristic algorithms;Furnaces","","5","","22","IEEE","30 Jun 2022","16-19 May 2022","16-19 May 2022","IEEE","IEEE Conferences"
"Research on public building fire risk assessment control model","W. Yayun; W. Jia","Beijing University of Civil Engineering and Architecture, Beijing, China; Beijing University of Civil Engineering and Architecture, Beijing, China",2016 Chinese Control and Decision Conference (CCDC),"8 Aug 2016","2016","","","3640","3645","Large space, multi-function, crowded public buildings are increasing. In case of fire, it will cause enormous casualties and property losses, so the fire control management plays an important role in the fine management of city. And the building fire risk assessment is an effective means of fire management. This article is aimed at analyzing the particularity of fire risk factors of public buildings in operational stage, and establishing the index system of fire risk assessment. This paper illustrates the fire scenario and the personnel evacuation simulation using the model of university teaching building through FDS and Pathfinder, studies about the impact on the level of building fire risk as the fire factors changing. This paper establishes the fire risk assessment model based on SVM theory, and gets a better precision in case of the small sample size, providing a new method and scientific basis for the fire risk assessment of the public buildings.","1948-9447","978-1-4673-9714-8","10.1109/CCDC.2016.7531615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7531615","Fire control management;Fire risk assessment;Index system;Support vector machine","Fires;Buildings;Risk management;Support vector machines;Indexes;Mathematical model","","2","","11","IEEE","8 Aug 2016","28-30 May 2016","28-30 May 2016","IEEE","IEEE Conferences"
"Simulation Experiment Teaching for Airport Fire Escape based on Virtual Reality and Artificial Intelligence Technology","J. Li; X. Mei; J. Wang; B. Xie; Y. Xu","College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, China; College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, China; College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, China; School of Emergency Management and Safety Engineering, China University of Mining & Technology, Beijing, China; China Academy of Civil Aviation Science and Technology, Beijing, China",2020 IEEE 2nd International Conference on Civil Aviation Safety and Information Technology (ICCASIT,"9 Mar 2021","2020","","","1014","1017","This paper proposes a simulation experiment teaching framework for airport fire escape based on virtual reality and artificial intelligence (AI) technology. It uses virtual reality technology and fire science theory to realize the construction of virtual fire scene and management of firefighting facilities, simulates fire dynamics with the help of fire dynamics simulator, and finally evaluates the quality of fire escape based on AI technology. Two example cases demonstrate that the system works well and has promising to become a new teaching mode for fire drill in civil aviation airports.","","978-1-7281-9948-1","10.1109/ICCASIT50869.2020.9368740","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368740","airport emergency;fire escape;simulation experiment teaching;virtual reality;AI technology","Solid modeling;Atmospheric modeling;Education;Virtual reality;Airports;Data models;Artificial intelligence","","10","","13","IEEE","9 Mar 2021","14-16 Oct. 2020","14-16 Oct. 2020","IEEE","IEEE Conferences"
