"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Simulation of fire evacuation in a high-rise office building","W. Bai; Y. Huo; G. W. Zou; Y. Gao","College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China; College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China; College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China; College of Aerospace and Civil Engineering, Harbin Engineering University, Harbin, China",2015 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"21 Jan 2016","2015","","","1704","1708","In order to find out the evacuation process of people when fire occurs in a high-rise building, the evacuation process in a ten-storey telecom office building is simulated under different opening conditions by using FDS+Evac software. The temperature field, smoke layer height and toxic gas index are analysed quantificationally. The results prove that about 70% of time is wasted in the stairs because of the stoppage during people evacuation. The exit numbers have little effect on the evacuation time if the number of people is small and they are familiar with the exits. However, adding another stair case in the building is able to reduce 1/3 time of evacuation.","","978-1-4673-8066-9","10.1109/IEEM.2015.7385938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7385938","high-rise building fire;evacuation;FDS+Evac;computer simulation","Floors;Fires;Numerical models;Computational modeling;Force;Personnel","","7","","14","IEEE","21 Jan 2016","6-9 Dec. 2015","6-9 Dec. 2015","IEEE","IEEE Conferences"
"Building fire rescue with evacuation management information system and its application","X. Tao; M. Guozhu; L. Xin; Z. Lin","School of Environment Science and Technology, Tianjin University, Tianjin, China; School of Environment Science and Technology, Tianjin University, Tianjin, China; School of Environment Science and Technology, Tianjin University, Tianjin, China; School of Environment Science and Technology, Tianjin University, Tianjin, China",2009 16th International Conference on Industrial Engineering and Engineering Management,"4 Dec 2009","2009","","","2085","2090","Building Fire Rescue with Evacuation Management Information System (BFREMIS) is established. And the evacuation model of BFREMIS was analyzed and presented in this paper. Based on the constructed network model, the evacuation of the teaching building in the university was analyzed by using the software EVACNET4. The analysis items included: the total evacuation time, the floor clear time, evacuation bottleneck, and the visual path of the evacuation on MAPGIS platform. BFREMIS is valuable in building safety assessment and building fire rescue.","","978-1-4244-3671-2","10.1109/ICIEEM.2009.5344245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5344245","Rescue Management Information System;GIS;evacuation;network evacuation model;building fire","Fires;Management information systems;Buildings;Safety;Geographic Information Systems;Computer simulation;Mathematical analysis;Protection;Disaster management;Resource management","","2","","13","IEEE","4 Dec 2009","21-23 Oct. 2009","21-23 Oct. 2009","IEEE","IEEE Conferences"
"Study of Building Fire Evacuation Based on Continuous Model of FDS & EVAC","F. Tingyong; X. Jun; Y. Jufen; W. Bangben","Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China; Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China; Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China; Engineering Research Center of Buildings Energy-efficient Control and Evaluation, Ministry of Education, Hefei, Anhui, China",2011 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,"11 Apr 2011","2011","","","1331","1334","It is quite remarkable that in building fires, many people get chocked due to the failure of evacuating timely, thus causing a huge loss of life and property. In this paper, a large number of building fire evacuation simulation examples are vividly described to introduce the study of building fire evacuation based on continuous model of FDS&EVAC. The future evacuation model will contain more behavioral details, moving towards the direction of predicting individual behavior, simulating large populations and complex features, handling the complex interrelationships among building structure, environment and human behavior.","","978-1-61284-278-3","10.1109/CDCIEM.2011.277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5748059","building fire;FDS&EVAC;vacuation simulation;continuous model","Monitoring;Computers;Distributed control","","7","","6","IEEE","11 Apr 2011","19-20 Feb. 2011","19-20 Feb. 2011","IEEE","IEEE Conferences"
"Research on Optimization Algorithm for Fire Emergency Evacuation in Experimental Buildings of Universities","X. Han; H. Ma; W. He; S. Wang","School of Electrical and Information Engineering, Beijing University of Civil Engineering and Architecture, Beijing, China; School of Electrical and Information Engineering, Institute of Distributed Energy Storage Safety Big Data, Beijing Key Laboratory of Intelligent Processing for Building Big Data, Beijing University of Civil Engineering and Architecture, Beijing, China; School of Electrical and Information Engineering, Beijing University of Civil Engineering and Architecture, Beijing, China; School of Electrical and Information Engineering, Beijing University of Civil Engineering and Architecture, Beijing, China",2024 36th Chinese Control and Decision Conference (CCDC),"17 Jul 2024","2024","","","2324","2328","College laboratory buildings have dense population, numerous electrical devices, and high fire risk. However, the existing evacuation A* algorithm has the disadvantages of long time and poor adaptability. In order to effectively solve the problems of long evacuation simulation time, low efficiency, and inability to change evacuation directions according to fire conditions in college laboratory buildings, this paper proposes an improved A* algorithm. This paper improves the heuristic function in the A* algorithm by introducing a logarithmic decay factor. By changing the weight of the estimated cost, it reduces the number of unnecessary search nodes and steers the search algorithm in the correct direction, thereby improving search efficiency. Secondly, it introduces a bidirectional A* search strategy to reduce search nodes and improve the efficiency of the algorithm. Simulation results show that the improved A* algorithm has fewer traversed nodes, shorter search paths, and higher search efficiency, which verifies the effectiveness and feasibility of the improved A* algorithm in experimental building fire evacuation. This study provides a solution for fire evacuation in college laboratory buildings.","1948-9447","979-8-3503-8778-0","10.1109/CCDC62350.2024.10588204","Beijing University of Civil Engineering and Architecture; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10588204","A* algorithm;heuristic function;hybrid path planning algorithm;Bidirectional search strategy","Heuristic algorithms;Simulation;Buildings;Sociology;Laboratories;Search problems;Path planning","","","","18","IEEE","17 Jul 2024","25-27 May 2024","25-27 May 2024","IEEE","IEEE Conferences"
"Towards a Smart Elevator-Aided Fire Evacuation Scheme in High-Rise Apartment Buildings for Elderly","H. Fang; H. Qiu; P. Lin; S. M. Lo; J. T. Y. Lo","Department of Architecture and Civil Engineering, City University of Hong Kong, Hong Kong, China; Department of Fire Safety Engineering, Southwest Jiaotong University, Chengdu, China; Department of Fire Safety Engineering, Southwest Jiaotong University, Chengdu, China; Department of Architecture and Civil Engineering, City University of Hong Kong, Hong Kong, China; Department of Civil and Environmental Engineering, Hong Kong Polytechnic University, Hong Kong, China",IEEE Access,"5 Sep 2022","2022","10","","90690","90705","Staircase evacuation is the major means of fire evacuation for current high-rise residential buildings. However, its feasibility may be questioned as more and more senior citizens live there in the future. The weakness in physical strength and mobility impairment of elderly people may impede the successful implementation of staircase evacuation. It is therefore reasonable to consider using elevators for overall evacuation in high-rise residential buildings. However, ensuring the fire safety of elevators and efficiently controlling the elevator-aided evacuation are two major difficulties for applying elevators in building fire evacuation. Recently, the use of smart control for building facility management has become a hot issue in built environment studies. An enabling solution for smart elevator-aided building fire evacuation (SEABFE) is proposed in this article. The solution supports the SEABFE by determining the safer and more efficient elevator-aided evacuation strategy based on real-time fire ground information and evacuation progress on the scene. A simulated case study of fire evacuation in a typical high-rise residential building shows that the proposed SEABFE can be successfully performed. Apart from keeping the elevator evacuation safe, the planned elevator-aided evacuation strategy may save 38.0% of the time compared with the strategy using only staircases in the scene.","2169-3536","","10.1109/ACCESS.2022.3201516","General Research Fund of Research Grant Council, Hong Kong Special Administrative Region, China(grant numbers:CityU 11216920); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9866757","Elevator-aided evacuation;evacuation simulation;fire evacuation;high-rise buildings;strategic planning","Buildings;Elevators;Older adults;Real-time systems;Optimization;Stairs;Graphical models;Safety;Fires;Smart devices;Alarm systems","","16","","56","CCBY","25 Aug 2022","2022","","IEEE","IEEE Journals"
"Risk Assessment of Building Fire Evacuation with Stochastic Obstructed Emergency Exit","S. G.N.; Y. J.C.E.; S. N.; S. C.L.","Department of Mechanical Engineering, Technology & Built Environment UCSI University, Kuala Lumpur, Malaysia; Department of Mechanical Engineering, Technology & Built Environment UCSI University, Kuala Lumpur, Malaysia; Department of Computer Science, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Faculty of Mechanical Engineering, Universiti Teknologi Malaysia, Johor Bahru, Malaysia",2019 4th International Conference and Workshops on Recent Advances and Innovations in Engineering (ICRAIE),"19 Mar 2020","2019","","","1","5","Fire evacuation simulation for buildings has greatly enhance the safety of escaping efficiently and give valuable insight for better layout permutation. The aim of this article is to evaluate the safety & risk of fire evacuation given a random chance that emergency exits are obstructed. A case study of evacuation pathway was evaluated against fire safety codes and practices in Malaysia. AnyLogic was used to simulate fire evacuation, assuming peak occupancy, with three randomly obstructed emergency exit pathways. Results show that though the floorplan fulfils safety criteria, the risk was high which requires adjustment. Monte Carlo analysis indicates the performance of risk of obstruction of all three emergency exits at one percent probability. Risk assessment points to the need of a minimum number of emergency exits by floor area per exit basis and a reconfiguration of floorplan layout.","","978-1-7281-2610-4","10.1109/ICRAIE47735.2019.9037753","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9037753","Fire risk assessment;Agent-based Modelling Simulation;Monte Carlo Analysis","Technological innovation;Monte Carlo methods;Ergonomics;Layout;Buildings;Contingency management;Stochastic processes;Risk management;Floors;Fire safety","","5","","20","IEEE","19 Mar 2020","27-29 Nov. 2019","27-29 Nov. 2019","IEEE","IEEE Conferences"
"Agent-Based Behavioral Model and Simulation of Fire Egress","A. J. Park; G. Han; V. Spicer; R. Ficocelli; H. H. Tsang; E. Hwang","Department of Computing Science, Thompson Rivers University, Kamloops, BC, Canada; Program in Urban Regeneration, Korea University, Seoul, South Korea; Institute for Canadian Urban Research Studies, Simon Fraser University, Burnaby, BC, Canada; Department of Computing Science, Thompson Rivers University, Kamloops, BC, Canada; Applied Research Lab, Trinity Western University, BC, Canada; Dept of Apparel, Housing and Resource Management Virginia Tech, VA, USA","2019 IEEE 10th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","19 Dec 2019","2019","","","0556","0561","Disastrous fires can cause death, injuries, and property damage. In certain cases, mass evacuations of buildings are also required to ensure safety. Building fires are particularly dangerous because of added factors such as confinement and height of buildings. Fire egress is essential to fire safety in buildings. Evaluating such safety is not easy since simulating fire egress with real subjects (and possibly with a real fire or smoke) poses ethical issues. There have been computer simulations of fire egress. However, current evacuee models are too simple and do not reflect the behavior of actual evacuees. This paper presents a comprehensive behavioral model and simulation of evacuees in a building fire. The fire egress simulation system is based on the behavioral model that is verified using simulation experiments. This simulation system can be used to evaluate the fire egress in actual buildings and can assist in determining fire safety standards. Simulation results are presented and future research is discussed.","2644-3163","978-1-7281-2530-5","10.1109/IEMCON.2019.8936208","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936208","Agent-based modeling and simulation;behavioral model;evacuee;fire egress;fire safety","Sensors;Computational modeling;Windows;Safety;Computer simulation;Rivers","","2","","18","IEEE","19 Dec 2019","17-19 Oct. 2019","17-19 Oct. 2019","IEEE","IEEE Conferences"
"Research on public building fire risk assessment control model","W. Yayun; W. Jia","Beijing University of Civil Engineering and Architecture, Beijing, China; Beijing University of Civil Engineering and Architecture, Beijing, China",2016 Chinese Control and Decision Conference (CCDC),"8 Aug 2016","2016","","","3640","3645","Large space, multi-function, crowded public buildings are increasing. In case of fire, it will cause enormous casualties and property losses, so the fire control management plays an important role in the fine management of city. And the building fire risk assessment is an effective means of fire management. This article is aimed at analyzing the particularity of fire risk factors of public buildings in operational stage, and establishing the index system of fire risk assessment. This paper illustrates the fire scenario and the personnel evacuation simulation using the model of university teaching building through FDS and Pathfinder, studies about the impact on the level of building fire risk as the fire factors changing. This paper establishes the fire risk assessment model based on SVM theory, and gets a better precision in case of the small sample size, providing a new method and scientific basis for the fire risk assessment of the public buildings.","1948-9447","978-1-4673-9714-8","10.1109/CCDC.2016.7531615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7531615","Fire control management;Fire risk assessment;Index system;Support vector machine","Fires;Buildings;Risk management;Support vector machines;Indexes;Mathematical model","","2","","11","IEEE","8 Aug 2016","28-30 May 2016","28-30 May 2016","IEEE","IEEE Conferences"
"Using real-time sensing data for predicting future state of building fires","C. -C. Lin; G. Zhao; L. L. Wang","Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada",2015 IEEE International Conference on Automation Science and Engineering (CASE),"8 Oct 2015","2015","","","1313","1318","The development of sensor technologies in recent years makes it possible to acquire real-time states of building environment and its systems with a major trend towards big data and wireless data transmission. How to use these vast real-time data sets to achieve a safer, more comfortable and energy efficient building becomes a major challenge for building engineering. This paper investigates one of the possibilities of using the real-time data for the prediction of future fire development states. Beyond simply reflecting the real-time states of a system, the sensing data will be able to forecast a highly dynamic problem of building fire growth and smoke dispersion inside building environment. This paper presents the forecasting method based an ensemble Kalman filter (EnKF) to predict building fire smoke temperature and smoke layer height at the real time. Detailed formulations of the zonal fire smoke models and the EnKF model are presented. The proposed real-time forecasting method is demonstrated and validated by a 1:5 scaled compartment fire experiment. The results indicate that real-time forecasting of building fires is achievable while the accuracy is noticeable which can be applied to assist emergency evacuation and firefighting.","2161-8089","978-1-4673-8183-3","10.1109/CoASE.2015.7294280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7294280","","Fires;Predictive models;Mathematical model;Temperature measurement;Buildings;Real-time systems;Computational modeling","","6","1","11","IEEE","8 Oct 2015","24-28 Aug. 2015","24-28 Aug. 2015","IEEE","IEEE Conferences"
"High Level Architecture (HLA) compliant distributed simulation platform for disaster preparedness and response in facility management","S. Hwang; R. Starbuck; S. Lee; M. Choi; S. Lee; M. Park","Department of Civil and Environmental, Engineering University of Michigan, Ann Arbor, MI, USA; Department of Civil and Environmental, Engineering University of Michigan, Ann Arbor, MI, USA; Department of Civil and Environmental, Engineering University of Michigan, Ann Arbor, MI, USA; Department of Architecture and Architectural Engineering, Seoul National University, Seoul, KOREA; Department of Architecture and Architectural Engineering, Seoul National University, Seoul, KOREA; Department of Architecture and Architectural Engineering, Seoul National University, Seoul, KOREA",2016 Winter Simulation Conference (WSC),"19 Jan 2017","2016","","","3365","3374","By imitating chaotic disaster situations in risk-free settings, disaster-related simulation can be helpful for training of response participation, damage evaluation, and recovery planning. However, each single simulation needs to interact with others because different simulation combinations are required due to numerous disasters and their complex effects on facilities, and diverse response efforts. We therefore developed a distributed simulation platform for disaster response management by using the High Level Architecture (HLA) (IEEE 1516) to promote its future extendibility. With a focus on the facility damage after an earthquake and fire, disaster response simulations—including evacuation, emergency recovery, and restoration—interact with a seismic data feeds, and structural response and building fire simulations. This base platform can provide information on possible damages and response situations to reduce confusions in disaster responses. With the strongest features of HLA, which is reusability and extendibility, additional disaster simulators could be coupled for all-time disaster management.","1558-4305","978-1-5090-4486-3","10.1109/WSC.2016.7822367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822367","","Analytical models;Buildings;Earthquakes;Fires;Data models;Planning;Disaster management","","6","","23","IEEE","19 Jan 2017","11-14 Dec. 2016","11-14 Dec. 2016","IEEE","IEEE Conferences"
