"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","References","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Chen M.; Guo M.; Han D.; Yuan L.; Li Y.; Wu K.","Chen, Miao (55733222500); Guo, Mingyang (57919285200); Han, Duanfeng (7403219578); Yuan, Lihao (55149453800); Li, Yusong (57919285300); Wu, Kungang (57918504800)","55733222500; 57919285200; 7403219578; 55149453800; 57919285300; 57918504800","A pedestrian evacuation model for a ship's flat multi-exit large space under fire environment","2024","Ocean Engineering","309","","118570","","","11","10.1016/j.oceaneng.2024.118570","https://www.scopus.com/pages/publications/85197486160?origin=resultslist","Effectively assessing pedestrian evacuation capabilities in a fire environment is a crucial technical reference for fire alternative designs. Based on the cellular automata (CA), this paper proposes a pedestrian evacuation model for ship flat multi-exit large space fire environment. The time-space coupling relationship between temperature, visibility and the pedestrian movement ability is established based on the numerical simulation results from FDS. The weight coefficients for the temperature field and visibility field in the fire environment are determined by the CRITIC method. A nonlinear mapping relationship between exit distance, crowd density, and exit environmental risk value is established by the fuzzy inference, and a multi-exit selection model is proposed by incorporating the Bayesian decision method. Taking a ship's multi-exit flat large space as an example, the results demonstrate that the multi-exit selection CA model can reflects the impact of the fire environment on individuals' microscopic movement routes, and could reasonably divert the crowd and avoid the phenomenon of exit congestion. In comparison to Pathfinder, the multi-exit selection CA model can simulate pedestrians actively avoiding high temperature and low visibility, accurately reflecting post-fire evacuation behavior. This model could be used to evaluate the fire evacuation capacity of ship multi-exit flat large space. © 2024","Bayesian decision; CRITIC method; Fire evacuation; Flat multi-exit large space; Multi-exit selection","Fires; Fuzzy inference; Ships; Bayesian decision; Cellular automata models; CRITIC method; Evacuation models; Fire environment; Fire evacuation; Flat multi-exit large space; Large spaces; Multi-exit selection; Pedestrian evacuations; Bayesian analysis; cellular automaton; computer simulation; decision making; fire; modeling; pedestrian; Visibility","","","","","Bae S.; Choi J.-H.; Ryou H.S., Modification of interaction forces between smoke and evacuees, Energies, 13, 16, (2020); Bakhshian E.; Martinez-Pastor B., Evaluating human behaviour during a disaster evacuation process: a literature review, J. Traffic Transport. Eng. English Ed., 10, 4, pp. 485-507, (2023); Benseghir H.; Bin Ibrahim A.; Siddique M.N.I.; Kabir M.N.; Alginahi Y.M., Modelling emergency evacuation from an industrial building under spreading fire using a social force model with fire dynamics, 11th Malaysian Technical Universities Conference on Engineering and Technology (MUCET), Malaysia, (2019); Cao S.; Song W.; Lv W., Modeling pedestrian evacuation with guiders based on a multi-grid model, Phys. Lett., 380, 4, pp. 540-547, (2016); Chen M.; Wu K.; Zhang H.; Han D.; Guo M., A ship evacuation model considering the interaction between pedestrians based on cellular automata, Ocean Eng., 281, (2023); DiNenno P.J.; S. o. F. P. Engineers and N. F. P. Association, SFPE Handbook of Fire Protection Engineering, (1995); Dombi J.; Jonas T., Generalizing the sigmoid function using continuous-valued logic, Fuzzy Set Syst., 449, pp. 79-99, (2022); Gao J.; He J.; Gong J., A simplified method to provide evacuation guidance in a multi-exit building under emergency, Phys. Stat. Mech. Appl., 545, (2020); Guo M.; Chen M.; Wu K.; Li Y., DCEFM model for emergency risk assessment of ship inflow, J. Mar. Sci. Appl., 21, 3, pp. 170-183, (2022); Ha S.; Ku N.-K.; Roh M.-I.; Lee K.-Y., Cell-based evacuation simulation considering human behavior in a passenger ship, Ocean Eng., 53, pp. 138-152, (2012); Haghani M.; Sarvi M., Human exit choice in crowded built environments: investigating underlying behavioural differences between normal egress and emergency evacuations, Fire Saf. J., 85, pp. 1-9, (2016); Revised Guidelines on Evacuation Analysis for the New and Existing Passenger Ships, 1/. MSC. Circ.1533, (2016); International Convention for the Safety of Life at Sea (SOLAS) Consolidated Edition, (2017); Jeon G.-Y.; Kim J.-Y.; Hong W.-H.; Augenbroe G., Evacuation performance of individuals in different visibility conditions, Build. Environ., 46, 5, pp. 1094-1103, (2011); Jiang Q.; Zhou Y.; Zhang L.; Li K.; Li H., Influence of pedestrian psychology on evacuation dynamics with the guide of emergency signage, Epl, 137, 4, (2022); Jiang Y.Q.; Chen B.K.; Wang B.H.; Wong W.F.; Cao B.Y., Extended social force model with a dynamic navigation field for bidirectional pedestrian flow, Frontiers Phys., 12, 5, (2017); Kirchner A.; Schadschneider A., Simulation of evacuation processes using a bionics-inspired cellular automaton model for pedestrian dynamics, Phys. Stat. Mech. Appl., 312, 1-2, pp. 260-276, (2002); Krishnan A.R.; Kasim M.M.; Hamid R.; Ghazali M.F., A modified CRITIC method to estimate the objective weights of decision criteria, Symmetry-Basel, 13, 6, (2021); Liu K.; Ma Y.; Chen M.; Wang K.; Zheng K., A survey of crowd evacuation on passenger ships: recent advances and future challenges, Ocean Eng., 263, (2022); Liu L.; Zhang H.; Shi J.; Geng J., Evacuation simulation of a passenger ship fire based on a modified cellular automaton, Adv. Theor. Simulat., 6, 7, (2023); Liu L.F.; Zhang H.J.; Shi J.; Geng J.N., Evacuation simulation of a passenger ship fire based on a modified cellular automaton, Adv. Theor. Simulat., 6, 7, (2023); Liu S.; Yang L.; Fang T.; Li J., Evacuation from a classroom considering the occupant density around exits, Phys. Stat. Mech. Appl., 388, 9, pp. 1921-1928, (2009); Liu Y.; Guo Z.; Jia X.Y.; Li C.F.; Kang J.C., Space temperature field and structure response of multi-chamber cabin subjected to fire, Ocean Eng., 266, (2022); Mesmer B.L.; Bloebaum C.L., Incorporation of decision, game, and Bayesian game theory in an emergency evacuation exit decision model, Fire Saf. J., 67, pp. 121-134, (2014); Miyagawa D.; Ichinose G., Cellular automaton model with turning behavior in crowd evacuation, Phys. Stat. Mech. Appl., 549, (2020); Piloni V.; Fioravanti P.; Spazzafumo L.; Rossi B., Measurement of the anorectal angle by defecography for the diagnosis of fecal incontinence, Int. J. Colorectal Dis., 14, 2, pp. 131-135, (1999); Purser D.A., Toxicity Assessment of Combustion Engineers' Handbook of Fire Protection Engineering, (2002); Rigos A.; Mohlin E.; Ronchi E., The cry wolf effect in evacuation: a game-theoretic approach, Phys. Stat. Mech. Appl., 526, (2019); Shuaib M.M., Incorporating intelligence for typical evacuation under the threat of fire spreading, Saf. Sci., 106, pp. 1-9, (2018); Tanimoto J.; Hagishima A.; Tanaka Y., Study of bottleneck effect at an emergency evacuation exit using cellular automata model, mean field approximation analysis, and game theory, Phys. Stat. Mech. Appl., 389, 24, pp. 5611-5618, (2010); Wang Y., Fuzzy inferences methodologies for cognitive informatics and computational intelligence, 8th IEEE International Conference on Cognitive Informatics (ICCI 2009), Hong Kong Polytechn Univ, Hong Kong, (2009); Wu B.; Zong L.; Yip T.L.; Wang Y., A probabilistic model for fatality estimation of ship fire accidents, Ocean Eng., 170, pp. 266-275, (2018); Wu W.; Chen M.; Li J.; Liu B.; Zheng X., An extended social force model via pedestrian heterogeneity affecting the self-driven force, IEEE Trans. Intell. Transport. Syst., 23, 7, pp. 7974-7986, (2022); Xie W.; Lee E.W.M.; Cheng Y.; Shi M.; Cao R.; Zhang Y., Evacuation performance of individuals and social groups under different visibility conditions: experiments and surveys, Int. J. Disaster Risk Reduc., 47, (2020); Yue H.; Zhang J.Y.; Chen W.X.; Wu X.S.; Zhang X.; Shao C.F., Simulation of the influence of spatial obstacles on evacuation pedestrian flow in walking facilities, Phys. Stat. Mech. Appl., 571, (2021); Zhang D.; Huang G.; Ji C.; Liu H.; Tang Y., Pedestrian evacuation modeling and simulation in multi-exit scenarios, Phys. Stat. Mech. Appl., 582, (2021); Zhang J.B.; Zhu J.; Dang P.; Wu J.L.; Zhou Y.X.; Li W.L.; Fu L.; Guo Y.K.; You J.G., An improved social force model (ISFM)-based crowd evacuation simulation method in virtual reality with a subway fire as a case study, Int. J. Digital Earth, 16, 1, pp. 1186-1204, (2023); Zhang J.J.; Zhao J.C.; Song Z.S.; Duan L.P., Experimental and modeling study on evacuation behaviors considering small groups under different visibility, Phys. Stat. Mech. Appl., 623, (2023); Zhang Y.; Li W.; Rui Y.; Wang S.; Zhu H.; Yan Z., A modified cellular automaton model of pedestrian evacuation in a tunnel fire, Tunn. Undergr. Space Technol., 130, (2022); Zhang Y.; Liu Z.Y.; Lin Y.F.; Fu M.; Chen Y., New approaches to determine the interface height of fire smoke based on a three-layer zone model and its verification in large confined space, Fire Mater., 44, 1, pp. 130-138, (2020); Zhao R.F.; Zhai Y.; Qu L.; Wang R.H.; Huang Y.Y.; Dong Q., A continuous floor field cellular automata model with interaction area for crowd evacuation, Phys. Stat. Mech. Appl., 575, (2021)","","","","","","Article","Final","","Scopus","2-s2.0-85197486160"
"Ding N.; Zhang H.; Chen T.","Ding, Ning (57188846463); Zhang, Hui (56979561200); Chen, Tao (56158055400)","57188846463; 56979561200; 56158055400","Simulation-based optimization of emergency evacuation strategy in ultra-high-rise buildings","2017","Natural Hazards","89","3","","1167","1184","43","10.1007/s11069-017-3013-1","https://www.scopus.com/pages/publications/85026801702?origin=resultslist","Emergency evacuation in high-rise buildings is a crucial problem. The evacuation strategy of using stairs and evacuation elevators should be optimized. In this paper, simulation-based optimization method is used to optimize the evacuation strategy of using stairs and elevators in high-rise buildings. The stair simulation is based on a cellular automata model, and several typical pedestrians’ walk preferences are considered in this model. In the simulation, evacuation elevators can arrive at the refuge floors, and the scheduling of the elevators is optimized based on the GA algorithm. The simulation-based optimization is designed as a two-level problem: The upper level is a strategy level; the lower level is an operation level. In the study case, the evacuation strategy of a 100-floor ultra-high-rise office building is optimized. We find that if evacuees follow the traditional stair evacuation strategy, the evacuation time is 42.6 min. After optimization, the evacuation time of optimal strategy by using both stairs and elevators is 25.1 min. Compared with the traditional stair evacuation strategy, the efficiency of evacuation is improved by 41.1%. It is also found that the merging behavior in stairwells will decrease the velocity of the pedestrian flow. Stairs are still the main egress, and evacuation elevators are an assistant egress during high-rise building evacuation. © 2017, Springer Science+Business Media B.V.","Building evacuation; High-rise building; Optimization; SBO","building; computer simulation; genetic algorithm; optimization; pedestrian","","","","","Abdelsalam H.M.E.; Bao H.P., A simulation-based optimization framework for product development cycle time reduction, IEEE Trans Eng Manag, 53, 1, pp. 69-85, (2006); Al-Aomar R., Designing machine operating strategy with simulated annealing and Monte Carlo simulation, J Frankl Inst, 343, 4, pp. 372-388, (2006); Al-Dhaheri N.; Jebali A.; Diabat A., A simulation-based Genetic Algorithm approach for the quay crane scheduling under uncertainty, Simul Model Pract Theory, 66, pp. 122-138, (2016); Alrabghi A.; Tiwari A., A review of simulation-based optimisation in maintenance operations, 2013 UKSim 15th international conference on computer modelling and simulation 10–12 April 2013, pp. 353-358, (2013); Alrabghi A.; Tiwari A., State of the art in simulation-based optimisation for maintenance systems, Comput Ind Eng, 82, pp. 167-182, (2015); Amaran S.; Sahinidis N.V.; Sharda B., Simulation optimization: a review of algorithms and applications, 4OR, 12, 4, pp. 301-333, (2014); Asano M.; Iryo T.; Kuwahara M., Microscopic pedestrian simulation model combined with a tactical model for route choice behaviour, Transp Res Part C Emerg Technol, 18, 6, pp. 842-855, (2010); Delgarm N.; Sajadi B.; Kowsary F., Multi-objective optimization of the building energy performance: a simulation-based approach by means of particle swarm optimization (PSO), Appl Energy, 170, pp. 293-303, (2016); Ding Y.; Yang L.; Weng F., Investigation of combined stairs elevators evacuation strategies for high rise buildings based on simulation, Simul Model Pract Theory, 53, pp. 60-73, (2015); Duh J.D.; Brown D.G., Knowledge-informed Pareto simulated annealing for multi-objective spatial allocation, Comput Environ Urban Syst, 31, 3, pp. 253-281, (2007); Fu L.; Luo J.; Deng M., Simulation of evacuation processes in a large classroom using an improved cellular automaton model for pedestrian dynamics, Procedia Eng, 31, pp. 1066-1071, (2012); Galea E.R.; Hulse L.; Day R., The UK WTC 9/11 evacuation study: an overview of the methodologies employed and some preliminary analysis, Pedestrian and evacuation dynamics 2008, pp. 3-24, (2010); Georgoudas I.G.; Kyriakos P.; Sirakoulis G.C., An FPGA implemented cellular automaton crowd evacuation model inspired by the electrostatic-induced potential fields, Microprocess Microsyst, 34, 7, pp. 285-300, (2010); Hao Q.Y.; Jiang R.; Hu M.B., Pedestrian flow dynamics in a lattice gas model coupled with an evolutionary game, Phys Rev E, 84, 3, (2011); He Q.; Wang L.; Liu B., Parameter estimation for chaotic systems by particle swarm optimization, Chaos Solitons Fractals, 34, 2, pp. 654-661, (2007); Helbing D.; Farkas I., Simulation of pedestrian crowds in normal and evacuation situations, Pedestrian and evacuation dynamics, pp. 21-58, (2002); Helbing D.; Molnar P., Social force model for pedestrian dynamics, Phys Rev E, 51, 5, (1995); Helbing D.; Farkas I.J.; Vicsek T., Freezing by heating in a driven mesoscopic system, Phys Rev Lett, 84, 6, (2000); Helbing D.; Farkas I.J.; Molnar P.; Vicsek T., Simulation of pedestrian crowds in normal and evacuation situations, Pedestr Evacuation Dyn, 21, 2, pp. 21-58, (2002); Henderson L.F., The statistics of crowd fluids, Nature, 229, pp. 381-383, (1971); Heyes E.; Spearpoint M., Lifts for evacuation-human behaviour considerations, Fire Mater, 36, 4, pp. 297-308, (2012); Hoogendoorn S.P.; Bovy P.H.L., Pedestrian travel behavior modeling, Netw Spat Econ, 5, 2, pp. 193-216, (2005); Huo F.; Song W.; Lv W., Analyzing pedestrian merging flow on a floor–stair interface using an extended lattice gas model, Simulation, 90, 5, pp. 501-510, (2014); Jacobs P.H.M.; Verbraeck A.; Mulder J.B.P., Flight scheduling at KLM. In: Proceedings of the winter simulation conference, IEEE, p 8, (2005); Lovas G.G., Modeling and simulation of pedestrian traffic flow, Transp Res Part B Methodol, 28, 6, pp. 429-443, (1994); Lu W.Z.; Lo S.M.; Fang Z., A preliminary investigation of airflow field in designated refuge floor, Build Environ, 36, 2, pp. 219-230, (2001); Ma J.; Lo S.M.; Song W.G., Cellular automaton modeling approach for optimum ultra high-rise building evacuation design, Fire Saf J, 54, pp. 57-66, (2012); Meijing G., Simulation based optimization approaches for multi-echelon inventory control of supply China distribution networks, (2009); Ning D.; Hui Z.; Tao C., Stair evacuation simulation based on cellular automata considering evacuees’ walk preferences, Chin Phys B, 24, 6, pp. 687-693, (2015); Paul R.J.; Chanev T.S., Simulation optimisation using a genetic algorithm, Simul Pract Theory, 6, 6, pp. 601-611, (1998); Pelechano N.; Malkawi A., Evacuation simulation models: challenges in modeling high rise building evacuation with cellular automata approaches, Autom Constr, 17, 4, pp. 377-385, (2008); Peng Y.C.; Chou C.I., Simulation of pedestrian flow through a “T” intersection: a multi-floor field cellular automata approach, Comput Phys Commun, 182, 1, pp. 205-208, (2011); Proulx G.; Johnson P.; Heyes E., The use of elevators for egress: discussion panel, Proceedings of human behaviour in fire conference, pp. 97-110, (2009); Reneke P.A.; Peacock R.D.; Hoskins B.L., Combined stairwell and elevator use during building evacuation, (2013); Ronchi E.; Reneke P.A.; Peacock R.D., A method for the analysis of behavioural uncertainty in evacuation modelling, Fire Technol, 50, pp. 1545-1571, (2014); Sante I.; Garcia A.M.; Miranda D., Cellular automata models for the simulation of real-world urban processes: a review and analysis, Landsc Urban Plan, 96, 2, pp. 108-122, (2010); Sun J.; Zhao Q.C.; Luh P.B., Optimization of group elevator scheduling with advance information, IEEE Trans Autom Sci Eng, 7, 2, pp. 352-363, (2010); Tampere C.; Van Arem B.; Hoogendoorn S., Gas-kinetic traffic flow modeling including continuous driver behavior models, Transp Res Rec J Transp Res Board, 1852, pp. 231-238, (2003); Tekin E.; Sabuncuoglu I., Simulation optimization: a comprehensive review on theory and applications, IIE Trans, 36, 11, pp. 1067-1081, (2004); Truong T.H.; Azadivar F., Simulation optimization in manufacturing analysis: simulation based optimization for supply chain configuration design, Proceedings of the 35th conference on winter simulation: driving innovation. winter simulation conference, pp. 1268-1275, (2003); Tsai S.C.; Fu S.Y., Genetic-algorithm-based simulation optimization considering a single stochastic constraint, Eur J Oper Res, 236, 1, pp. 113-125, (2014); Wang J.Y.; Weng W.G.; Zhang X.L., New insights into the crowd characteristics in Mina, J Stat Mech Theory Exp, 2014, (2014); Was J., Cellular automata model of pedestrian dynamics for normal and evacuation conditions. In: 5th international conference on intelligent systems design and applications (ISDA’05), IEEE, pp. 154-159, (2005); Was J.; Lubas R., Towards realistic and effective agent-based models of crowd dynamics, Neurocomputing, 146, pp. 199-209, (2014); Yue H.; Guan H.; Zhang J., Study on bi-direction pedestrian flow using cellular automata simulation, Physica A, 389, 3, pp. 527-539, (2010); Zhang X.L.; Weng W.G.; Yuan H.Y., Empirical study of crowd behavior during a real mass event, J Stat Mech Theory Exp, 2012, 8, (2012); Zhang X.L.; Weng W.G.; Yuan H.Y.; Chen J.G., Empirical study of a unidirectional dense crowd during a real mass event, Physica A, 392, pp. 2781-2791, (2013); Zou N.; Yeh S.T.; Chang G.L., Simulation-based emergency evacuation system for Ocean City, Maryland, during hurricanes, Transp Res Rec J Transp Res Board, 1922, pp. 138-148, (2005)","","","","","","Article","Final","","Scopus","2-s2.0-85026801702"
"Qiao Y.; Weng Y.; Shi X.; Zhu Z.; Li C.; Zhang X.; Liu J.","Qiao, Yaning (55881338000); Weng, Yikai (58991002000); Shi, Xiaobo (43361838600); Zhu, Zongyou (58991002100); Li, Changyun (58990724800); Zhang, Xumiao (58991560700); Liu, Jiankun (27172406800)","55881338000; 58991002000; 43361838600; 58991002100; 58990724800; 58991560700; 27172406800","Fault tree analysis for subway fire evacuation with agent-based modeling","2023","Journal of Infrastructure Preservation and Resilience","4","1","7","","","6","10.1186/s43065-023-00073-w","https://www.scopus.com/pages/publications/85184137814?origin=resultslist","In the process of the continuous development of subway construction, the safe evacuation of subway passengers has been paid much attention to. As the subway itself has the characteristics of limited space and high passenger density, once a fire emergency occurs, it can cause huge losses only by passive rescue. Therefore, it is important to actively plan for evacuation to reduce life and property losses due to fires in subways. This study aims to develop a fault tree analysis method for identifying scenarios that lead to evacuation failure in subways due to impassability incurred by fires. First, a virtual evacuation model is established using an agent modeling technique, with collected passenger characteristics to calibrate local evacuation behaviors. Then, fire impassability scenarios (e.g. fire(s) in the escalator(s), in emergency stairs, or the combination) are evaluated using the established agent model. Eventually, a fault tree analysis is constructed to identify scenarios that lead to evacuation failures. The research results show that the passability of escalator(s) is critical for subway fire resilience. It is important to use stationary escalator(s) as evacuation pathways for more evacuation capacity. Fire risk management around escalator(s) should be stricter. Passengers and staff are advised to learn how to stop a running escalator to avoid evacuation failures. © The Author(s) 2023.","Emergency; Evacuation; Fire; Resilience; Risk; Subway","Autonomous agents; Computational methods; Fault tree analysis; Railroads; Risk assessment; Risk management; Agent modeling; Agent-based model; Continuous development; Emergency; Evacuation; Fault tree analyses (FTA); Fire evacuation; Resilience; Subway constructions; Subway fire; Fires","","","","","Sosa E.M.; Thompson G.J.; Holter G.M.; Fortune J.M., Large-scale inflatable structures for tunnel protection: a review of the resilient tunnel plug project, J Infrastruct Preserv Resilience, 1, 1, pp. 1-28, (2020); Porzycki J.; Schmidt-Polonczyk N.; Was J., Pedestrian behavior during evacuation from road tunnel in smoke condition—empirical results, PLoS One, 13, 8, (2018); Ahmed S.; Dey K., Resilience modeling concepts in transportation systems: a comprehensive review based on mode, and modeling techniques, J Infrastruct Preserv Resilience, 1, 1, pp. 1-20, (2020); Zhou R.; Cui Y.; Wang Y.; Jiang J., A modified social force model with different categories of pedestrians for subway station evacuation, Tunn Undergr Space Technol, 110, (2021); Helbing D.; Farkas I.J.; Molnar P.; Vicsek T., Simulation of pedestrian crowds in normal and evacuation situations, Pedestr Evac Dyn, 21, 2, pp. 21-58, (2002); Li X.; Guo F.; Kuang H.; Geng Z.; Fan Y., An extended cost potential field cellular automaton model for pedestrian evacuation considering the restriction of visual field, Phys A: Stat Mech Appl, 515, pp. 47-56, (2019); Heliovaara S.; Korhonen T.; Hostikka S.; Ehtamo H., Counterflow model for agent-based simulation of crowd dynamics, Build Environ, 48, pp. 89-100, (2012); Vermuyten H.; Belien J.; De Boeck L.; Reniers G.; Wauters T., A review of optimisation models for pedestrian evacuation and design problems, Saf Sci, 87, pp. 167-178, (2016); Shi C.; Zhong M.; Nong X.; He L.; Shi J.; Feng G., Modeling and safety strategy of passenger evacuation in a metro station in China, Saf Sci, 50, 5, pp. 1319-1332, (2012); Zhang L.; Liu M.; Wu X.; AbouRizk S.M., Simulation-based route planning for pedestrian evacuation in metro stations: a case study, Autom Constr, 71, pp. 430-442, (2016); Yang X.; Dong H.; Yao X., Passenger distribution modelling at the subway platform based on ant colony optimization algorithm, Simul Model Pract Theory, 77, pp. 228-244, (2017); Qin J.; Liu C.; Huang Q., Simulation on fire emergency evacuation in special subway station based on pathfinder, Case Stud Therm Eng, 21, (2020); Ronchi E.; Colonna P.; Capote J.; Alvear D.; Berloco N.; Cuesta A., The evaluation of different evacuation models for assessing road tunnel safety analysis, Tunn Undergr Space Technol, 30, pp. 74-84, (2012); Gb/t 33668–2017, Code for safety evacuation of metro, (2017); Lin C.T.; Wang M.J.J., Hybrid fault tree analysis using fuzzy sets, Reliab Eng Syst Saf, 58, 3, pp. 205-213, (1997); Li M.; Liu L.; Yang Y.; Wang Y.; Yang X.; Wu H., Psychological impact of health risk communication and social media on college students during the COVID-19 pandemic: cross-sectional study, J Med Internet Res, 22, 11, (2020); Cronbach L.J., Coefficient alpha and the internal structure of tests, Psychometrika, 16, 3, pp. 297-334, (1951); Deng Y.; Guo H.; Meng M.; Zhang Y.; Pei S., Exploring the effects of safety climate on worker’s safety behavior in subway operation, Sustainability, 12, 20, (2020); GB 10000—88, Human Dimensions of Chinese Adults, (1989); Predtechenskii V.; Milinskii A., Planning for foot traffic flow in buildings, (1978); Chen R.; Dong L., Observations and preliminary analysis of characteristics of pedestrian traffic in Chinese Metropolis, J Shanghai Univ (Nat Sci Ed), 11, 1, pp. 93-97, (2005); Liu D.; Kong W.; Li L.; Zhang R.; Zhao D.; Zeng J., Survey and analysis of pedestrian characteristics in Subway of Beijing, Build Sci, 26, 3, (2010); Zhang X.; Li X.; Hadjisophocleous G., A probabilistic occupant evacuation model for fire emergencies using Monte Carlo methods, Fire Saf J, 58, pp. 15-24, (2013); Yang X.; Zhang R.; Li Y.; Pan F., Passenger evacuation path planning in subway station under multiple fires based on multiobjective robust optimization, IEEE Trans Intell Transp Syst, 23, 11, pp. 21915-21931, (2022); Shi Y.; Xu J.; Zhang H.; Jia L.; Qin Y., Walking model on passenger in merging passage of subway station considering overtaking behavior, Phys A: Stat Mechan Appl, 585, (2022); GB 50157–2013, Code for design of metro, (2013)","","","","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85184137814"
